index,time,dive-temperature,dive-depth,dive-speed
942,2025-12-12 09:59:00.519580+00:00,24.21,35.722,-0.09999999999999905
942,2025-12-12 09:59:00.519580+00:00,24.12,36.261,0.17966666666666717
942,2025-12-12 09:59:00.519580+00:00,24.07,36.132,-0.04300000000000163
943,2025-12-12 09:59:20.978567+00:00,24.09,39.049,0.9723333333333338
943,2025-12-12 09:59:20.978567+00:00,24.24,37.607,-0.48066666666666674
943,2025-12-12 09:59:20.978567+00:00,24.22,37.607,0.0
943,2025-12-12 09:59:20.978567+00:00,24.16,37.339,-0.08933333333333356
945,2025-12-12 09:59:42.165417+00:00,24.14,37.371,0.01066666666666786
945,2025-12-12 09:59:42.165417+00:00,24.17,37.2,-0.056999999999999794
945,2025-12-12 09:59:42.165417+00:00,24.4,37.246,0.015333333333333124
945,2025-12-12 09:59:42.165417+00:00,24.49,37.13,-0.03866666666666655
946,2025-12-12 10:00:02.791874+00:00,24.32,37.56,0.14333333333333323
946,2025-12-12 10:00:02.791874+00:00,24.44,37.57899999999999,0.006333333333330415
946,2025-12-12 10:00:02.791874+00:00,24.25,37.211999999999996,-0.12233333333333245
946,2025-12-12 10:00:02.791874+00:00,24.27,37.363,0.05033333333333445
947,2025-12-12 10:00:23.291864+00:00,24.33,37.225,-0.045999999999999375
947,2025-12-12 10:00:23.291864+00:00,24.35,37.592,0.12233333333333245
947,2025-12-12 10:00:23.291864+00:00,24.31,37.49,-0.03399999999999892
947,2025-12-12 10:00:23.291864+00:00,24.45,37.521,0.010333333333332936
948,2025-12-12 10:00:43.948195+00:00,24.4,37.676,0.05166666666666705
948,2025-12-12 10:00:43.948195+00:00,24.26,37.41,-0.08866666666666845
948,2025-12-12 10:00:43.948195+00:00,24.39,34.301,-1.0363333333333316
948,2025-12-12 10:00:43.948195+00:00,24.31,43.308,3.0023333333333326
949,2025-12-12 10:01:04.639504+00:00,24.32,34.647,-2.8870000000000005
949,2025-12-12 10:01:04.639504+00:00,24.41,36.809,0.7206666666666663
949,2025-12-12 10:01:04.639504+00:00,24.22,36.74,-0.022999999999998504
949,2025-12-12 10:01:04.639504+00:00,24.08,36.847,0.03566666666666644
950,2025-12-12 10:01:25.142258+00:00,24.06,36.727,-0.040000000000001514
950,2025-12-12 10:01:25.142258+00:00,24.37,36.42100000000001,-0.10199999999999676
950,2025-12-12 10:01:25.142258+00:00,24.32,36.38,-0.013666666666667973
950,2025-12-12 10:01:25.142258+00:00,24.13,36.419,0.012999999999998124
951,2025-12-12 10:01:45.835254+00:00,24.29,36.269,-0.049999999999999524
951,2025-12-12 10:01:45.835254+00:00,24.6,36.489,0.07333333333333296
951,2025-12-12 10:01:45.835254+00:00,24.69,36.288999999999994,-0.06666666666666761
951,2025-12-12 10:01:45.835254+00:00,24.78,36.361000000000004,0.02400000000000328
952,2025-12-12 10:02:06.521511+00:00,24.98,36.196000000000005,-0.054999999999999716
952,2025-12-12 10:02:06.521511+00:00,25.17,36.463,0.08899999999999864
952,2025-12-12 10:02:06.521511+00:00,25.23,36.229,-0.07800000000000058
